curve,cutoff,horizon,arm,actual,pred,mape,difficulty
run_2,5,3,B_lcpfn,1.1458327770233154,1.1388849020004272,0.606360296389637,Easy
run_2,6,1,A_domhan,1.1676223278045654,1.1593605851520454,0.7075697728437782,Easy
run_2,6,2,A_domhan,1.1458327770233154,1.1327819799250882,1.1389792088275765,Easy
run_2,6,3,A_domhan,1.1406923532485962,1.1112299233070306,2.5828550404198842,Easy
run_2,6,1,B_lcpfn,1.1676223278045654,1.1574150323867798,0.874194949404404,Easy
run_2,6,2,B_lcpfn,1.1458327770233154,1.136311411857605,0.8309559088059416,Easy
run_2,6,3,B_lcpfn,1.1406923532485962,1.1167082786560059,2.102589232257558,Easy
run_2,7,1,A_domhan,1.1458327770233154,1.1424877633296218,0.29192860954662686,Easy
run_2,7,2,A_domhan,1.1406923532485962,1.1243573230495212,1.4320276762226214,Easy
run_2,7,3,A_domhan,1.138353705406189,1.1098059962610578,2.507806581518064,Easy
run_2,7,1,B_lcpfn,1.1458327770233154,1.137001395225525,0.7707391492790947,Easy
run_2,7,2,B_lcpfn,1.1406923532485962,1.1206610202789307,1.7560679628138096,Easy
run_2,7,3,B_lcpfn,1.138353705406189,1.1061843633651733,2.82595311881002,Easy
run_3,3,1,A_domhan,1.4075021743774414,1.4412017149009912,2.3942798197420645,Medium
run_3,3,2,A_domhan,1.3263590335845947,1.3943260449599117,5.124329812240247,Medium
run_3,3,3,A_domhan,1.2782180309295654,1.3639624680885123,6.708122955877134,Medium
run_3,3,1,B_lcpfn,1.4075021743774414,1.4752458333969116,4.813041162755874,Medium
run_3,3,2,B_lcpfn,1.3263590335845947,1.4580668210983276,9.930025293210523,Medium
run_3,3,3,B_lcpfn,1.2782180309295654,1.429862141609192,11.86371237224259,Medium
run_3,4,1,A_domhan,1.3263590335845947,1.3563754428170478,2.2630681793097347,Medium
run_3,4,2,A_domhan,1.2782180309295654,1.3038639607220182,2.0063814757645138,Medium
run_3,4,3,A_domhan,1.2322170734405518,1.2650277524643674,2.662735302977327,Medium
run_3,4,1,B_lcpfn,1.3263590335845947,1.3407808542251587,1.0873240408811333,Medium
run_3,4,2,B_lcpfn,1.2782180309295654,1.311786413192749,2.626185944096836,Medium
run_3,4,3,B_lcpfn,1.2322170734405518,1.2745567560195923,3.4360571275661034,Medium
run_3,5,1,A_domhan,1.2782180309295654,1.260633121658922,1.3757362863873168,Medium
run_3,5,2,A_domhan,1.2322170734405518,1.20749436203838,2.0063600752700084,Medium
run_3,5,3,A_domhan,1.2025121450424194,1.1637161134774872,3.2262486266667785,Medium
run_3,5,1,B_lcpfn,1.2782180309295654,1.2607064247131348,1.3700015015197058,Medium
run_3,5,2,B_lcpfn,1.2322170734405518,1.2243353128433228,0.639640593132007,Medium
run_3,5,3,B_lcpfn,1.2025121450424194,1.1894564628601074,1.08570065060353,Medium
run_3,6,1,A_domhan,1.2322170734405518,1.2249336662029786,0.5910815062184361,Medium
run_3,6,2,A_domhan,1.2025121450424194,1.186478576201468,1.333339451668143,Medium
run_3,6,3,A_domhan,1.1964805126190186,1.1546448788920136,3.4965578867163862,Medium
run_3,6,1,B_lcpfn,1.2322170734405518,1.2216777801513672,0.8553114152003379,Medium
run_3,6,2,B_lcpfn,1.2025121450424194,1.1934036016464233,0.757459576067299,Medium
run_3,6,3,B_lcpfn,1.1964805126190186,1.1675037145614624,2.421836189720116,Medium
run_3,7,1,A_domhan,1.2025121450424194,1.1952425236349682,0.6045362150745515,Medium
run_3,7,2,A_domhan,1.1964805126190186,1.1664337995634133,2.511258038782005,Medium
run_3,7,3,A_domhan,1.1911909580230713,1.14248627344376,4.088738606624648,Medium
run_3,7,1,B_lcpfn,1.2025121450424194,1.1895555257797241,1.0774626531724767,Medium
run_3,7,2,B_lcpfn,1.1964805126190186,1.1679588556289673,2.383796199707357,Medium
run_3,7,3,B_lcpfn,1.1911909580230713,1.1484501361846924,3.5880747373462762,Medium
run_4,3,1,A_domhan,1.1835854053497314,1.240682826123971,4.824106525491349,Easy
run_4,3,2,A_domhan,1.1333833932876587,1.2040362462299545,6.233799909256636,Easy
run_4,3,3,A_domhan,1.0974239110946655,1.1799744661643268,7.5222121766344765,Easy
run_4,3,1,B_lcpfn,1.1835854053497314,1.2439242601394653,5.097972188319159,Easy
run_4,3,2,B_lcpfn,1.1333833932876587,1.2320164442062378,8.70253186192093,Easy
run_4,3,3,B_lcpfn,1.0974239110946655,1.2109662294387817,10.34625883364062,Easy
run_4,4,1,A_domhan,1.1333833932876587,1.1235251084737574,0.8698102400552105,Easy
run_4,4,2,A_domhan,1.0974239110946655,1.0712888345069569,2.3814932701474723,Easy
run_4,4,3,A_domhan,1.0621910095214844,1.0293822637294647,3.0887802191811002,Easy
